Date,Close,Adjusted_close,Volume,Trading_Value,Volume_2,Trading_Value_2,Open,High,Low
2025-02-17,1272.72,1272.72,739296299.0,15412.48,113401092.0,2252.09,1277.12,1278.49,1272.72
2025-02-18,1278.14,1278.14,630727837.0,12810.75,75547474.0,1429.5,1274.05,1283.34,1272.19
2025-02-19,1288.56,1288.56,736572664.0,15354.33,75150536.0,2055.7,1280.6,1288.56,1278.92
2025-02-20,1292.98,1292.98,713812172.0,14991.82,56846228.0,1296.14,1292.94,1295.82,1290.84
2025-02-21,1296.75,1296.75,667595047.0,14469.85,72438607.0,1438.07,1293.63,1296.75,1290.98
2025-02-24,1304.56,1304.56,807662797.0,18549.63,84611409.0,2542.82,1298.29,1304.56,1294.69
2025-02-25,1303.16,1303.16,827866418.0,18130.35,57788908.0,1435.33,1306.86,1309.97,1298.54
2025-02-26,1302.96,1302.96,710467326.0,15537.87,46934989.0,1059.02,1305.16,1306.49,1301.2
2025-02-27,1307.8,1307.8,846430144.0,17754.17,45278556.0,954.31,1307.31,1307.87,1296.43
2025-02-28,1305.36,1305.36,752261254.0,16860.95,61829345.0,1789.63,1307.14,1308.77,1300.66
2025-03-03,1309.37,1309.37,801877821.0,17043.58,161359839.0,3866.15,1306.97,1309.77,1304.3
2025-03-04,1311.91,1311.91,935914817.0,20071.67,122458601.0,3090.48,1306.82,1313.21,1298.28
2025-03-05,1304.71,1304.71,770488829.0,17353.13,203476957.0,4762.71,1312.84,1319.52,1304.71
2025-03-06,1318.22,1318.22,983977939.0,20641.39,78350213.0,1775.67,1308.02,1318.22,1307.91
2025-03-07,1326.05,1326.05,892233477.0,19535.41,63181137.0,1085.72,1320.1,1327.07,1318.71
2025-03-10,1330.28,1330.28,856953551.0,19898.31,161789050.0,2808.68,1331.6,1335.87,1326.51
2025-03-11,1332.54,1332.54,847446213.0,18989.82,85312975.0,2357.68,1319.17,1332.54,1315.92
2025-03-12,1334.41,1334.41,851269716.0,19548.8,84738021.0,2240.19,1337.87,1342.91,1331.75
2025-03-13,1326.27,1326.27,997493162.0,23111.02,70168872.0,1318.66,1335.66,1340.91,1324.87
2025-03-14,1326.15,1326.15,939830088.0,21310.52,82724412.0,1712.55,1325.84,1333.32,1324.3
2025-03-17,1336.26,1336.26,837533176.0,18017.81,116653167.0,2256.11,1330.62,1336.26,1329.05
2025-03-18,1330.97,1330.97,810147102.0,17356.96,90363529.0,2260.27,1340.16,1341.65,1330.97
2025-03-19,1324.63,1324.63,835603365.0,20239.27,112750235.0,3173.06,1330.4,1330.7,1320.85
2025-03-20,1323.93,1323.93,821245236.0,17843.38,90917442.0,1687.31,1326.8,1332.41,1316.11
2025-03-21,1321.88,1321.88,714329789.0,15010.32,90059730.0,1923.44,1324.0,1325.22,1320.67
2025-03-24,1330.32,1330.32,794981660.0,17155.77,126091520.0,2357.72,1322.9,1330.32,1316.73
2025-03-25,1331.92,1331.92,825911387.0,17419.96,184668832.0,4874.41,1335.29,1337.6,1329.81
2025-03-26,1326.09,1326.09,734761077.0,16582.68,85064483.0,1954.94,1333.33,1338.55,1323.69
